Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2002-01-20,2002-02-20,2002-03-20,2002-04-20,2002-05-20,2002-06-20,2002-07-20,2002-08-20,2002-09-20,2002-10-20,2002-11-20,2002-12-20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,2003-01-20,2003-02-20,2003-03-20,2003-04-20,2003-05-20,2003-06-20,2003-07-20,2003-08-20,2003-09-20,2003-10-20,2003-11-20,2003-12-20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,2004-01-20,2004-02-20,2004-03-20,2004-04-20,2004-05-20,2004-06-20,2004-07-20,2004-08-20,2004-09-20,2004-10-20,2004-11-20,2004-12-20,4/13/20,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21,9/21/21,9/22/21,9/23/21,9/24/21,9/25/21,9/26/21,9/27/21,9/28/21,9/29/21,9/30/21,2010-01-21,2010-02-21,2010-03-21,2010-04-21,2010-05-21,2010-06-21,2010-07-21,2010-08-21,2010-09-21,2010-10-21,2010-11-21,2010-12-21,10/13/21,10/14/21,10/15/21,10/16/21,10/17/21,10/18/21,10/19/21,10/20/21,10/21/21,10/22/21,10/23/21,10/24/21,10/25/21,10/26/21,10/27/21,10/28/21,10/29/21,10/30/21,10/31/21,2011-01-21,2011-02-21,2011-03-21,2011-04-21,2011-05-21,2011-06-21,2011-07-21,2011-08-21,2011-09-21,2011-10-21,2011-11-21,2011-12-21,11/13/21,11/14/21,11/15/21,11/16/21,11/17/21,11/18/21,11/19/21,11/20/21,11/21/21,11/22/21,11/23/21,11/24/21,11/25/21,11/26/21,11/27/21,11/28/21,11/29/21,11/30/21,2012-01-21,2012-02-21,2012-03-21,2012-04-21,2012-05-21,2012-06-21,2012-07-21,2012-08-21,2012-09-21,2012-10-21,2012-11-21,2012-12-21,12/13/21,12/14/21,12/15/21,12/16/21,12/17/21,12/18/21
Northern Territory,Australia,-12.4634,130.8456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,5,5,6,6,12,12,15,15,15,17,19,21,22,26,27,28,28,28,28,28,28,28,28,203,203,204,204,204,204,206,206,206,208,208,208,208,209,209,210,211,211,212,212,212,212,212,212,213,214,214,215,215,216,222,222,224,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,226,227,228,229,229,230,230,231,231,231,232,231,243,250,245,253,252,262,265,266,280,278,281,283,285,286,288,292,290,292,293,294,297,299,299,299,306,307,306,328,313,328,343,351,348,360
Queensland,Australia,-27.4698,153.0251,0,0,0,0,0,0,0,1,3,2,3,2,2,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,11,11,13,13,13,15,15,18,20,20,35,46,61,68,78,94,144,184,221,259,319,397,443,493,555,625,656,689,743,781,835,873,900,907,921,934,943,953,965,974,983,987,2009,2010,2013,2014,2015,2015,2017,2018,2019,2021,2021,2022,2022,2022,2028,2029,2035,2039,2042,2043,2046,2048,2051,2056,2056,2059,2062,2063,2067,2067,2067,2068,2071,2071,2071,2071,2072,2077,2082,2082,2082,2082,2085,2086,2087,2089,2089,2089,2090,2090,2089,2092,2094,2095,2098,2098,2099,2102,2105,2109,2106,2106,2109,2110,2110,2111,2112,2112,2112,2112,2113,2115,2117,2116,2117,2120,2125,2127,2130,2133,2139,2146,2152,2155,2155,2157,2157,2165,2167,2168,2176,2180,2188,2210,2227,2258,2297
South Australia,Australia,-34.9285,138.6007,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,5,5,7,7,7,7,7,9,9,16,19,20,29,29,37,42,50,67,100,134,170,170,235,257,287,299,305,337,367,367,396,407,407,411,411,415,420,428,429,429,429,895,896,896,898,898,898,898,898,898,899,900,900,900,901,901,901,901,901,902,904,905,906,907,907,907,908,909,910,913,914,914,914,914,915,915,915,916,916,917,917,917,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,919,920,920,920,921,921,921,922,922,922,922,922,922,926,931,931,931,932,932,952,953,957,962,972,971,975,976,983,991,1008,1021,1020,1057,1081,1145,1143,1216
Tasmania,Australia,-42.8821,147.3272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,5,5,6,7,7,10,10,10,16,22,28,28,36,47,47,62,66,66,69,69,72,74,80,82,86,89,98,111,122,133,133,144,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,236,236,236,236,236,236,236,236,236,236,236,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,238,238,238,238,238,238,238,238,239,239,239,239,239,239,239,239,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,241,243,244,247
Victoria,Australia,-37.8136,144.9631,0,0,0,0,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,9,9,10,10,10,11,11,15,18,21,21,36,49,57,71,94,121,121,121,229,355,355,411,466,520,574,685,769,821,917,968,1036,1085,1115,1135,1158,1191,1212,1228,1241,1265,1268,1281,26036,26439,26942,27439,27968,28456,29008,29596,30216,30961,31679,32515,33294,33967,34975,35904,37333,38476,39952,41128,42505,44251,45664,47266,49104,51012,52902,54470,55936,57470,59763,61869,63836,65674,67457,69206,70998,73151,75340,76886,78763,80152,81651,83185,84942,86563,87918,88930,90261,91217,92126,93339,94669,95917,97043,98130,99183,100162,101451,102566,103760,104665,105484,106262,107245,108231,109495,110662,111926,112942,113755,114943,116189,117544,118777,119815,120814,121727,122890,124299,125474,126839,127789,128849,130029,131325,132557,133734,134911,135959,137227,138409,139804,141415,142907,144411,145570
Western Australia,Australia,-31.9505,115.8605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,4,6,9,9,14,17,17,28,31,35,52,64,90,120,140,175,175,231,231,278,311,355,364,392,400,400,436,453,460,460,481,495,506,514,514,517,1089,1089,1089,1089,1092,1092,1093,1094,1094,1094,1094,1095,1095,1095,1096,1096,1096,1096,1096,1096,1099,1109,1110,1110,1110,1110,1110,1110,1110,1111,1111,1111,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1113,1116,1116,1117,1118,1119,1120,1121,1121,1121,1122,1122,1122,1121,1121,1121,1121,1121,1122,1122,1122,1122,1122,1122,1123,1123,1123,1123,1124,1125,1125,1125,1125,1125
,Austria,47.5162,14.5501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,9,14,18,21,29,41,55,79,104,131,182,246,302,504,655,860,1018,1332,1646,2013,2388,2814,3582,4474,5283,5588,6909,7657,8271,8788,9618,10180,10711,11129,11524,11781,12051,12297,12639,12942,13244,13555,13806,13945,14041,711573,713269,715893,718091,720455,722357,724035,725434,726674,728696,730403,732157,734302,735890,737202,738763,741046,743095,744964,746380,748825,750229,751139,753832,755797,757675,759543,761218,762538,763928,766542,768711,771143,773540,775782,777679,780269,783996,787644,791226,794982,798606,801456,804825,809086,813334,819195,825297,830981,835504,840902,847408,856002,865390,875333,883887,892065,899777,911175,923150,934948,948100,959652,971541,981904,996320,1011465,1027274,1042571,1056613,1070419,1079932,1095297,1108889,1121134,1132805,1143283,1151809,1159995,1170362,1179244,1185982,1193286,1198478,1203103,1207336,1212999,1217436,1221095,1225555,1228034,1232204,1235063,1239287,1242333,1245232,1247399
,Azerbaijan,40.1431,47.5769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,6,9,9,9,11,11,11,15,15,23,28,28,28,44,44,53,65,72,87,93,122,165,182,209,273,298,359,400,443,521,584,641,717,822,926,991,1058,1098,1148,461249,463326,463326,467173,467173,467173,467173,473459,475053,476409,477587,478715,479814,480843,481401,481401,483128,483902,484591,485275,485987,486378,487204,488213,488213,490130,491147,492179,492790,494067,495332,496780,498630,498630,502207,503452,505554,507857,509862,511974,514289,516325,517802,520068,522368,524788,526920,529109,531370,532570,534748,537004,539710,542150,544650,547281,548591,550446,552322,554096,556430,558431,560853,561925,563940,565965,568089,570322,572085,573974,574799,576703,578627,580507,582504,584121,585783,586640,588318,590113,591885,593588,594994,596388,596973,598503,599713,601028,602137,603254,604480,604998,605920,607076,608060,608815,609397
,Bahamas,25.025885,-78.035889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,4,4,5,5,9,10,10,11,14,14,21,24,24,28,28,29,33,40,41,42,46,46,47,19601,19601,19795,19795,20030,20030,20030,20215,20288,20288,20288,20603,20603,20603,20775,20842,20984,20984,21114,21114,21114,21312,21312,21458,21518,21580,21580,21580,21580,21580,21580,21580,21580,21580,21580,21978,22048,22092,22154,22179,22179,22179,22259,22259,22259,22351,22351,22351,22351,22407,22429,22429,22485,22485,22485,22485,22529,22592,22544,22552,22572,22572,22572,22601,22613,22629,22640,22655,22655,22655,22665,22665,22696,22696,22720,22734,22734,22763,22791,22802,22809,22825,22825,22825,22839,22846,22846,22859,22881,22881,22881,22907,22907,22950,22971,22995,22995
,Bahrain,26.0275,50.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,33,33,36,41,47,49,49,52,55,60,85,85,95,110,195,195,195,210,214,214,228,256,278,285,305,334,377,392,419,458,466,476,499,515,567,569,643,672,688,700,756,811,823,887,925,1040,1136,1361,273835,273916,273977,274041,274107,274179,274264,274383,274452,274524,274614,274676,274745,274814,274877,274925,274981,275057,275130,275175,275237,275279,275349,275394,275458,275538,275597,275654,275734,275803,275862,275912,275975,276030,276118,276188,276262,276336,276395,276461,276526,276571,276608,276635,276685,276718,276749,276794,276829,276874,276917,276956,276983,277011,277041,277081,277098,277113,277138,277165,277184,277201,277223,277246,277262,277282,277304,277322,277348,277389,277421,277444,277481,277510,277536,277552,277585,277628,277690,277721,277752,277772,277803,277831,277856,277894,277935,277964,277997,278037,278065,278065,278149,278202,278257,278309,278410
